design_cell,plant,sfr_period_s,sg_reserve,mechanism,severity,capability_change_time_policy,load_event_relation,load_shape,measurement_noise,communication,initial_soc_band,knowledge_split,scenario_id,episode_seed,factor_source,execution_status,status_reason
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_12,236887699,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_13,256203221,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_14,275604541,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_15,295075147,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_16,314606891,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_17,334214467,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_18,353868013,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_19,373587883,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_00,15485863,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_01,32452843,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_02,49979687,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_03,67867967,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_04,86028121,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_05,104395303,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_06,122949823,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_07,141650939,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_08,160481183,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_09,179424673,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_10,198491317,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_11,217645199,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_12,236887699,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_13,256203221,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_14,275604541,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_15,295075147,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_16,314606891,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_17,334214467,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_18,353868013,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_001,A,2,scarce,nominal,mild,uniform_20_120_s,before,stochastic_net_load,high,jitter,mid_0p45_0p60,final_known_negative_control,core_001_seed_19,373587883,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_00,15485863,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_01,32452843,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_02,49979687,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_03,67867967,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_04,86028121,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_05,104395303,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_06,122949823,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_07,141650939,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_08,160481183,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_09,179424673,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_10,198491317,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_11,217645199,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_12,236887699,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_13,256203221,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_14,275604541,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_15,295075147,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_16,314606891,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_17,334214467,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_18,353868013,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_002,A,2,critical,nominal,mild,uniform_20_120_s,no_incident,step,low,normal,high_0p65_0p80,final_known_negative_control,core_002_seed_19,373587883,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_00,15485863,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_01,32452843,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_02,49979687,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_03,67867967,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_04,86028121,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_05,104395303,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_06,122949823,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_07,141650939,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_08,160481183,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_09,179424673,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_10,198491317,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_11,217645199,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_12,236887699,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_13,256203221,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_14,275604541,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_15,295075147,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_16,314606891,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_17,334214467,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_18,353868013,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_003,A,4,adequate,nominal,medium,uniform_20_120_s,after,ramp,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_003_seed_19,373587883,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_00,15485863,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_01,32452843,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_02,49979687,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_03,67867967,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_04,86028121,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_05,104395303,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_06,122949823,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_07,141650939,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_08,160481183,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_09,179424673,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_10,198491317,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_11,217645199,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_12,236887699,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_13,256203221,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_14,275604541,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_15,295075147,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_16,314606891,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_17,334214467,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_004,A,4,scarce,nominal,medium,uniform_20_120_s,simultaneous,pulse,high,jitter,mid_0p45_0p60,final_known_negative_control,core_004_seed_18,353868013,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
