scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3,Tcrit_s,source_scenario_id
E5_A_delay_scarce_09,A,9,10009,delay,scarce,0.05,4.0,no_load,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.123680050839719,3.068645667106776,2.7750223510372543,5.513851094920317,,A_delay_scarce_09
E5_A_energy_adequate_00,A,0,10000,energy,adequate,0.1,4.0,no_load,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.678552996024048,3.3729171656218315,3.31460543900876,0.4859148672018808,,A_energy_adequate_00
E5_A_energy_adequate_01,A,1,10001,energy,adequate,0.1,4.0,after,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.014818629762577,6.219233232090003,5.918355787402286,4.37667697114338,36.0,A_energy_adequate_01
E5_A_energy_adequate_02,A,2,10002,energy,adequate,0.1,4.0,continuous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.938647452503385,3.459069538948061,5.619527018646639,5.884545823803529,,A_energy_adequate_02
E5_A_energy_adequate_03,A,3,10003,energy,adequate,0.1,4.0,before,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.1150250430142807,4.964538882279377,5.3179575382831565,3.016941273103284,24.0,A_energy_adequate_03
E5_A_energy_adequate_04,A,4,10004,energy,adequate,0.1,4.0,no_load,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.377357138365258,4.862246258360719,4.522242757127049,0.5224760902448211,,A_energy_adequate_04
E5_A_energy_adequate_05,A,5,10005,energy,adequate,0.1,4.0,after,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.5530621201753165,3.889470897030087,4.286022564934435,4.88259529382848,36.0,A_energy_adequate_05
E5_A_energy_adequate_06,A,6,10006,energy,adequate,0.1,4.0,before,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.774837974581865,4.811479447756373,6.042003506986188,5.941492176982259,20.0,A_energy_adequate_06
E5_A_energy_adequate_07,A,7,10007,energy,adequate,0.1,4.0,after,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.1694304772661896,0.2647388497148555,2.9227221706875244,4.26704420025272,40.0,A_energy_adequate_07
E5_A_energy_adequate_08,A,8,10008,energy,adequate,0.1,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.289457381454614,4.145222036011761,1.5491803988842752,5.380086364346768,28.0,A_energy_adequate_08
E5_A_energy_adequate_09,A,9,10009,energy,adequate,0.1,4.0,before,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.1492622090780595,3.3487448985042123,5.733410603830035,5.787595598784464,20.0,A_energy_adequate_09
E5_A_energy_scarce_00,A,0,10000,energy,scarce,0.05,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.1385608357226316,1.825624265006218,3.6762848543672826,1.7313631799604214,28.0,A_energy_scarce_00
E5_A_energy_scarce_01,A,1,10001,energy,scarce,0.05,4.0,continuous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.739211425147502,2.393597023732804,3.0879848841898547,0.9281881305419184,,A_energy_scarce_01
E5_A_energy_scarce_02,A,2,10002,energy,scarce,0.05,4.0,simultaneous,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.677866551596599,6.240415486974033,5.868226205872103,1.2746131604876032,36.0,A_energy_scarce_02
E5_A_energy_scarce_03,A,3,10003,energy,scarce,0.05,4.0,after,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.973447316985848,1.356981045667602,2.396241830240488,1.905516014288502,36.0,A_energy_scarce_03
E5_A_energy_scarce_04,A,4,10004,energy,scarce,0.05,4.0,before,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.941167895744902,6.060643426771588,5.376776763651052,5.338278354820072,24.0,A_energy_scarce_04
E5_A_energy_scarce_05,A,5,10005,energy,scarce,0.05,4.0,no_load,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.3839820454433638,4.386170835170438,1.4312232554535675,6.046033296899851,,A_energy_scarce_05
E5_A_energy_scarce_06,A,6,10006,energy,scarce,0.05,4.0,simultaneous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.346195361835781,0.9300091652768298,3.4260038456700617,2.392096401286777,36.0,A_energy_scarce_06
E5_A_energy_scarce_07,A,7,10007,energy,scarce,0.05,4.0,after,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.667146836130397,0.9703968002101848,2.8328043928650035,6.260639292019151,36.0,A_energy_scarce_07
E5_A_energy_scarce_08,A,8,10008,energy,scarce,0.05,4.0,continuous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.2722456999605454,5.972515105173523,0.7649840138812746,5.58336100737567,,A_energy_scarce_08
E5_A_energy_scarce_09,A,9,10009,energy,scarce,0.05,4.0,no_load,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.4587871916126197,3.503338447274277,0.7861331616884861,3.674064895938277,,A_energy_scarce_09
E5_A_headroom_adequate_00,A,0,10000,headroom,adequate,0.1,4.0,continuous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.0601626760277125,2.3144646446082224,4.064468766273079,2.1907015213846,,A_headroom_adequate_00
E5_A_headroom_adequate_01,A,1,10001,headroom,adequate,0.1,4.0,before,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.5142366062091052,0.8906480546099089,0.6012057390378976,4.607921991037828,24.0,A_headroom_adequate_01
E5_A_headroom_adequate_02,A,2,10002,headroom,adequate,0.1,4.0,no_load,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.7577164562531266,0.0468479118302916,5.4251187353830295,5.757251559537378,,A_headroom_adequate_02
E5_A_headroom_adequate_03,A,3,10003,headroom,adequate,0.1,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.788674207113416,4.392616151985086,2.1964067369570026,4.906734106415727,28.0,A_headroom_adequate_03
E5_A_headroom_adequate_04,A,4,10004,headroom,adequate,0.1,4.0,before,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.63209381424652,0.5402538723966521,5.290520832949804,3.75998474976738,20.0,A_headroom_adequate_04
E5_A_headroom_adequate_05,A,5,10005,headroom,adequate,0.1,4.0,after,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.040349765055395,5.606028330377666,2.4621823792427904,4.563644081342051,36.0,A_headroom_adequate_05
E5_A_headroom_adequate_06,A,6,10006,headroom,adequate,0.1,4.0,continuous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.610109201327316,5.162044890379706,3.077686777241165,4.051219763553869,,A_headroom_adequate_06
E5_A_headroom_adequate_07,A,7,10007,headroom,adequate,0.1,4.0,continuous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.0399093431327755,5.648291828355171,5.983826271006548,1.123485340560116,,A_headroom_adequate_07
E5_A_headroom_adequate_08,A,8,10008,headroom,adequate,0.1,4.0,continuous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.083468916203851,4.65007620006846,2.6598060417960827,5.118877918659189,,A_headroom_adequate_08
E5_A_headroom_adequate_09,A,9,10009,headroom,adequate,0.1,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.3445167446288786,4.047625284266823,1.242701570553922,0.5285587626119091,28.0,A_headroom_adequate_09
E5_A_headroom_scarce_00,A,0,10000,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.240411148745347,4.91853549090696,1.608148895916651,1.2856638701982597,28.0,A_headroom_scarce_00
E5_A_headroom_scarce_01,A,1,10001,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.7888489505200273,3.259143953972043,5.095734492352357,3.6855750529689,28.0,A_headroom_scarce_01
E5_A_headroom_scarce_02,A,2,10002,headroom,scarce,0.05,4.0,continuous,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.267389743218711,0.4819415723668123,0.964163414174452,1.2411600187660454,,A_headroom_scarce_02
E5_A_headroom_scarce_03,A,3,10003,headroom,scarce,0.05,4.0,after,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.349803504440561,1.0872904327973505,1.7704984865189235,0.1332371557309445,36.0,A_headroom_scarce_03
E5_A_headroom_scarce_04,A,4,10004,headroom,scarce,0.05,4.0,no_load,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.662623970658394,1.8178901497771227,0.0649818462337772,1.278286910033964,,A_headroom_scarce_04
E5_A_headroom_scarce_05,A,5,10005,headroom,scarce,0.05,4.0,no_load,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.495344821239758,3.333320114938745,6.115107694974262,5.481242412184955,,A_headroom_scarce_05
E5_A_headroom_scarce_06,A,6,10006,headroom,scarce,0.05,4.0,no_load,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.8359428603096415,0.4170754871673142,5.256443183421897,2.5260055667577377,,A_headroom_scarce_06
E5_A_headroom_scarce_07,A,7,10007,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.260595084011451,3.1568448210652904,5.749633655087347,4.027290601553065,28.0,A_headroom_scarce_07
E5_A_headroom_scarce_08,A,8,10008,headroom,scarce,0.05,4.0,continuous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.104940041968433,1.57300139368812,4.554833824323194,3.2496177967928244,,A_headroom_scarce_08
E5_A_headroom_scarce_09,A,9,10009,headroom,scarce,0.05,4.0,before,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.6015620613999224,5.593019682730267,4.015564752928589,4.701464409081816,20.0,A_headroom_scarce_09
E5_A_ramp_adequate_00,A,0,10000,ramp,adequate,0.1,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.262049444191476,1.0085934656434152,5.848932404939642,1.464265799454764,28.0,A_ramp_adequate_00
E5_A_ramp_adequate_01,A,1,10001,ramp,adequate,0.1,4.0,no_load,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.535077185175548,4.98109100031838,4.670249141382564,4.597670857094208,,A_ramp_adequate_01
E5_A_ramp_adequate_02,A,2,10002,ramp,adequate,0.1,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.2877468968492165,4.091327723480419,2.6271850927661986,1.817271100363229,28.0,A_ramp_adequate_02
E5_A_ramp_adequate_03,A,3,10003,ramp,adequate,0.1,4.0,before,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.9523111913955844,0.4645420363177466,5.281802309996831,2.770002180724508,20.0,A_ramp_adequate_03
E5_A_ramp_adequate_04,A,4,10004,ramp,adequate,0.1,4.0,simultaneous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.082840368486193,1.9539471589978523,2.798227616043813,3.36810334921034,28.0,A_ramp_adequate_04
E5_A_ramp_adequate_05,A,5,10005,ramp,adequate,0.1,4.0,no_load,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.1592791979329027,3.7965981426719946,4.327308536362079,6.219837745611007,,A_ramp_adequate_05
E5_A_ramp_adequate_06,A,6,10006,ramp,adequate,0.1,4.0,after,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.1082264734793052,4.099395827320968,5.323709716537244,1.6851714105488729,36.0,A_ramp_adequate_06
E5_A_ramp_adequate_07,A,7,10007,ramp,adequate,0.1,4.0,after,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.395658614950812,4.514223102300113,2.277269926773556,2.998460604453425,36.0,A_ramp_adequate_07
E5_A_ramp_adequate_08,A,8,10008,ramp,adequate,0.1,4.0,after,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.303574667904086,2.364610872309978,4.886375459517029,0.0630528017899053,36.0,A_ramp_adequate_08
E5_A_ramp_adequate_09,A,9,10009,ramp,adequate,0.1,4.0,simultaneous,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.951723815415376,2.3176480754030724,3.207930416376837,1.5820378983591958,28.0,A_ramp_adequate_09
E5_A_ramp_scarce_00,A,0,10000,ramp,scarce,0.05,4.0,continuous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.3880164964575483,3.447534672985491,2.9149737263689115,0.5413716852435351,,A_ramp_scarce_00
E5_A_ramp_scarce_01,A,1,10001,ramp,scarce,0.05,4.0,before,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.894010117226839,0.1538039771168966,4.257241502452905,2.2064832670443875,20.0,A_ramp_scarce_01
E5_A_ramp_scarce_02,A,2,10002,ramp,scarce,0.05,4.0,simultaneous,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.9636752845589944,4.202536258750854,1.9971923603320056,5.711036133296796,28.0,A_ramp_scarce_02
E5_A_ramp_scarce_03,A,3,10003,ramp,scarce,0.05,4.0,before,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.3037236577665254,0.3420341952453755,1.475918467598173,3.7811819228092873,40.0,A_ramp_scarce_03
E5_A_ramp_scarce_04,A,4,10004,ramp,scarce,0.05,4.0,after,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.795814611333193,6.246313041732065,4.218760750791206,4.307292201485262,36.0,A_ramp_scarce_04
E5_A_ramp_scarce_05,A,5,10005,ramp,scarce,0.05,4.0,no_load,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.5288952642603912,3.249364908941636,3.923297642362383,1.323633530107281,,A_ramp_scarce_05
E5_A_ramp_scarce_06,A,6,10006,ramp,scarce,0.05,4.0,before,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.224851904792427,5.600744878364936,3.69463117312426,1.9728419643655264,20.0,A_ramp_scarce_06
E5_A_ramp_scarce_07,A,7,10007,ramp,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.1913514440009311,2.0096317821362715,4.467142385578827,2.8950843301694267,32.0,A_ramp_scarce_07
E5_A_ramp_scarce_08,A,8,10008,ramp,scarce,0.05,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.260213572746066,1.818397518282994,2.2024521562709016,1.668900024939314,40.0,A_ramp_scarce_08
E5_A_ramp_scarce_09,A,9,10009,ramp,scarce,0.05,4.0,continuous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.451031403380332,5.630237394662313,0.5704716514616998,0.213534856605993,,A_ramp_scarce_09
E5_A2_availability_scarce_00,A,0,20000,availability,scarce,0.05,2.0,no_load,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,2.561934919700342,0.5945554912993555,4.2733123385827705,2.2009684377862424,,A2_availability_scarce_00
E5_A2_availability_scarce_01,A,1,20001,availability,scarce,0.05,2.0,simultaneous,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,6.0731834517041055,3.762962185342659,3.1372554493030056,4.968247506163221,44.0,A2_availability_scarce_01
E5_A2_availability_scarce_02,A,2,20002,availability,scarce,0.05,2.0,after,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,2.447872835732088,1.5651885547383828,6.185288217739701,5.272150448684159,32.0,A2_availability_scarce_02
E5_A2_availability_adequate_03,A,3,20003,availability,adequate,0.1,2.0,continuous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,6.278371834943411,0.5875977684333363,2.424842542320699,6.122711851728415,,A2_availability_adequate_03
E5_A2_availability_scarce_04,A,4,20004,availability,scarce,0.05,2.0,no_load,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,4.671812580560194,3.313698665625397,5.303433658450138,2.7503177580716205,,A2_availability_scarce_04
E5_A2_availability_adequate_05,A,5,20005,availability,adequate,0.1,2.0,continuous,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,1.492975314044769,2.0206037074738816,0.9228692152173568,3.299409578377333,,A2_availability_adequate_05
E5_A2_availability_scarce_06,A,6,20006,availability,scarce,0.05,2.0,continuous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,5.928156713187454,6.071065317814641,1.725481886964237,5.664252743129069,,A2_availability_scarce_06
