scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,magnitude_class,timing_relation,load_area,load_sign,condition,capability_change_time_s,load_event_time_s,second_capability_change_time_s,initial_soc,frequency_noise_std_hz,control_jitter_s,dropout_probability,nominal_warmup_s,factor_assignment,contract_violation
C2-F-A-022,confirmatory_final,114,A_full_nonlinear,power_drop,high,2.0,300.0,infeasible,before,both,1,known,129.1668559372098,116.51667571916758,,0.5,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-023,confirmatory_final,120,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,before,area1,1,OOD,107.30113639434623,92.60894802832904,,0.35,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-024,confirmatory_final,126,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,simultaneous,area0,1,known,124.12445027267728,124.12445027267728,,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-025,confirmatory_final,132,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,before,both,1,OOD,107.26531878695494,90.55866367955466,,0.65,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-026,confirmatory_final,138,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,before,area0,1,OOD,129.75959396783435,116.12019322226553,,0.5,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-027,confirmatory_final,144,A_full_nonlinear,power_drop,high,2.0,300.0,bridge,simultaneous,area1,1,OOD,134.35672258704932,134.35672258704932,,0.5,0.0001,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-028,confirmatory_final,150,A_full_nonlinear,power_drop,high,2.0,300.0,infeasible,simultaneous,both,-1,known,134.25671601645269,134.25671601645269,,0.35,0.0002,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-029,confirmatory_final,156,A_full_nonlinear,power_drop,high,2.0,300.0,sustainable,after,area0,-1,OOD,109.06488801057719,121.35162681959125,,0.35,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-030,confirmatory_final,103,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,after,area0,1,known,132.1170999989288,149.92027428725459,,0.5,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-031,confirmatory_final,109,A_full_nonlinear,power_drop,high,4.0,300.0,infeasible,before,area1,1,OOD,105.37119813990637,92.98464872446652,,0.35,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-032,confirmatory_final,115,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,simultaneous,area1,1,OOD,105.70087357230561,105.70087357230561,,0.35,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-033,confirmatory_final,121,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,after,both,1,known,112.38387225284865,131.2520215311128,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-034,confirmatory_final,127,A_full_nonlinear,power_drop,high,4.0,300.0,infeasible,simultaneous,area0,1,OOD,102.42662626939709,102.42662626939709,184.4266262693971,0.5,0.0002,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-035,confirmatory_final,133,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,before,area1,-1,OOD,117.08743069611582,103.4778132389142,,0.65,0.0002,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-036,confirmatory_final,139,A_full_nonlinear,power_drop,high,4.0,300.0,bridge,simultaneous,area0,-1,known,123.36077756629628,123.36077756629628,,0.35,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-037,confirmatory_final,145,A_full_nonlinear,power_drop,high,4.0,300.0,bridge,before,both,1,OOD,122.39696853183641,110.77604752755474,,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-038,confirmatory_final,151,A_full_nonlinear,power_drop,high,4.0,300.0,sustainable,before,area0,1,known,104.50136809151287,90.10734815779287,,0.65,0.0001,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-039,confirmatory_final,157,A_full_nonlinear,power_drop,high,4.0,300.0,bridge,after,both,-1,known,118.50586421106478,133.0069015700049,200.50586421106476,0.5,0.0002,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-040,confirmatory_final,104,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,both,1,known,119.29900354490465,100.4490414810582,,0.65,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-041,confirmatory_final,110,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,after,area1,-1,known,132.1153755746882,148.4603591810796,214.1153755746882,0.5,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-042,confirmatory_final,116,A_full_nonlinear,ramp_drop,low,2.0,300.0,infeasible,simultaneous,area1,1,OOD,120.29351854918546,120.29351854918546,202.29351854918548,0.65,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-043,confirmatory_final,122,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,simultaneous,area1,1,OOD,121.4832164104195,121.4832164104195,,0.35,0.0001,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-044,confirmatory_final,128,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,area0,-1,OOD,105.17195953465438,92.73378049491754,,0.65,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-045,confirmatory_final,134,A_full_nonlinear,ramp_drop,low,2.0,300.0,bridge,after,both,1,known,100.06361052435041,118.88295732095739,,0.5,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-046,confirmatory_final,140,A_full_nonlinear,ramp_drop,low,2.0,300.0,infeasible,after,both,1,OOD,108.99312842460051,120.74088660253567,,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-047,confirmatory_final,146,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,area0,-1,known,134.8746241406012,116.7982725250176,,0.35,0.0002,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-048,confirmatory_final,152,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,simultaneous,area0,1,OOD,131.5548368878171,131.5548368878171,,0.5,0.0002,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-049,confirmatory_final,158,A_full_nonlinear,ramp_drop,low,2.0,300.0,sustainable,before,area0,1,known,104.55741637253055,88.26619999549206,,0.35,0.0,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-050,confirmatory_final,105,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,before,both,1,known,131.56280425144746,113.24963421274096,,0.35,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-051,confirmatory_final,111,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,before,area1,-1,known,119.37497547913114,103.31302087827348,,0.65,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-052,confirmatory_final,117,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,before,both,1,OOD,114.24491012063298,101.03554873759019,196.244910120633,0.5,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-053,confirmatory_final,123,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,after,area0,1,OOD,127.69994480663166,139.14981496354028,,0.65,0.0002,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-054,confirmatory_final,129,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,before,both,1,known,116.12682215999953,100.7651753405204,198.12682215999953,0.5,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-055,confirmatory_final,135,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,after,area0,1,OOD,110.57491179713396,129.59410970551176,,0.35,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-056,confirmatory_final,141,A_full_nonlinear,ramp_drop,low,4.0,300.0,bridge,simultaneous,area1,-1,OOD,105.01697843432468,105.01697843432468,,0.5,0.0001,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-057,confirmatory_final,147,A_full_nonlinear,ramp_drop,low,4.0,300.0,sustainable,after,area1,1,known,112.70481903443557,127.81034500802868,,0.65,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-058,confirmatory_final,153,A_full_nonlinear,ramp_drop,low,4.0,300.0,infeasible,simultaneous,area0,-1,OOD,105.1448917213388,105.1448917213388,,0.5,0.0001,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-059,confirmatory_final,159,A_full_nonlinear,ramp_drop,low,4.0,300.0,infeasible,simultaneous,area0,1,known,111.01366570054896,111.01366570054896,,0.35,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-060,confirmatory_final,100,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,after,area1,-1,OOD,134.76994425522284,144.998761544348,,0.65,0.0,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-061,confirmatory_final,106,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,simultaneous,both,-1,OOD,129.830159783885,129.830159783885,211.830159783885,0.5,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-062,confirmatory_final,112,A_full_nonlinear,ramp_drop,high,2.0,300.0,infeasible,after,area1,1,OOD,115.87603077829706,127.87017587314853,,0.35,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-063,confirmatory_final,118,A_full_nonlinear,ramp_drop,high,2.0,300.0,bridge,before,area0,1,known,126.31311883873526,115.90511256543431,,0.5,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-064,confirmatory_final,124,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,before,area1,1,known,134.69818886635815,115.05140213277832,216.69818886635815,0.35,0.0001,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-065,confirmatory_final,130,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,before,area0,1,known,116.85860281029682,97.50768386733174,,0.65,0.0002,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-066,confirmatory_final,136,A_full_nonlinear,ramp_drop,high,2.0,300.0,sustainable,simultaneous,area0,1,OOD,126.76948489950402,126.76948489950402,,0.5,0.0,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-067,confirmatory_final,142,A_full_nonlinear,ramp_drop,high,2.0,300.0,bridge,after,both,-1,known,120.14786259937283,130.33795839731388,,0.65,0.0002,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-068,confirmatory_final,148,A_full_nonlinear,ramp_drop,high,2.0,300.0,bridge,before,area0,1,known,126.6643090855105,107.97785448938818,,0.35,0.0,0.02,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-069,confirmatory_final,154,A_full_nonlinear,ramp_drop,high,2.0,300.0,infeasible,simultaneous,both,1,OOD,101.95602330110808,101.95602330110808,,0.5,0.0002,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-070,confirmatory_final,101,A_full_nonlinear,ramp_drop,high,4.0,300.0,bridge,before,both,1,OOD,112.70632510636146,93.83141319846658,,0.65,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-071,confirmatory_final,107,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,after,both,-1,known,133.39142335278683,145.7570725701105,215.39142335278683,0.5,0.0001,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-072,confirmatory_final,113,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,simultaneous,area0,-1,known,127.4430979060147,127.4430979060147,,0.35,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-073,confirmatory_final,119,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,simultaneous,area0,1,known,115.52005103807198,115.52005103807198,197.52005103807198,0.5,0.0002,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-074,confirmatory_final,125,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,before,both,1,OOD,124.73248603564242,105.25943087788232,,0.65,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-075,confirmatory_final,131,A_full_nonlinear,ramp_drop,high,4.0,300.0,infeasible,after,area1,1,known,104.51029191898513,119.9970991044228,,0.5,0.0,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-076,confirmatory_final,137,A_full_nonlinear,ramp_drop,high,4.0,300.0,bridge,after,area0,1,known,102.87811118537617,122.0611941383532,,0.5,0.0001,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-077,confirmatory_final,143,A_full_nonlinear,ramp_drop,high,4.0,300.0,sustainable,before,area1,1,OOD,104.64784803016683,88.59078949132028,,0.35,0.0,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-078,confirmatory_final,149,A_full_nonlinear,ramp_drop,high,4.0,300.0,bridge,before,area1,1,OOD,112.60622451895662,101.47130263057846,,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-079,confirmatory_final,155,A_full_nonlinear,ramp_drop,high,4.0,300.0,infeasible,simultaneous,area0,-1,OOD,131.7136374533613,131.7136374533613,,0.35,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-080,confirmatory_final,102,A_full_nonlinear,delay_increase,low,2.0,300.0,infeasible,after,area1,1,OOD,113.60405566965106,129.2261367300444,,0.35,0.0,0.01,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-081,confirmatory_final,108,A_full_nonlinear,delay_increase,low,2.0,300.0,infeasible,simultaneous,area1,-1,known,127.0911062928252,127.0911062928252,,0.65,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-082,confirmatory_final,114,A_full_nonlinear,delay_increase,low,2.0,300.0,bridge,simultaneous,both,-1,known,107.29893679006402,107.29893679006402,,0.35,0.0001,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-083,confirmatory_final,120,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,before,area0,1,OOD,109.64928810230411,95.20455117793503,,0.5,0.0001,0.02,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-084,confirmatory_final,126,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,after,area0,1,OOD,125.82303337122529,144.3445374699175,,0.65,0.0002,0.0,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-085,confirmatory_final,132,A_full_nonlinear,delay_increase,low,2.0,300.0,bridge,after,both,-1,known,128.60703999945426,145.61466438445794,210.60703999945426,0.65,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-086,confirmatory_final,138,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,simultaneous,both,1,known,112.96192664463805,112.96192664463805,,0.5,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-087,confirmatory_final,144,A_full_nonlinear,delay_increase,low,2.0,300.0,bridge,before,area0,1,OOD,130.07618232659064,109.76814926319356,212.07618232659064,0.35,0.0,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-088,confirmatory_final,150,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,before,area1,1,OOD,122.65978419321617,108.24948079634669,,0.5,0.0002,0.02,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-089,confirmatory_final,156,A_full_nonlinear,delay_increase,low,2.0,300.0,sustainable,before,area0,1,known,105.52120311377614,86.88413158817639,,0.5,0.0,0.0,0.0,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-090,confirmatory_final,103,A_full_nonlinear,delay_increase,low,4.0,300.0,bridge,before,area1,1,known,130.28897412510705,111.96395066755775,,0.5,0.0002,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-091,confirmatory_final,109,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,after,area0,1,known,112.80958385418295,127.80329696875518,,0.65,0.0002,0.0,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-092,confirmatory_final,115,A_full_nonlinear,delay_increase,low,4.0,300.0,infeasible,before,area1,1,OOD,103.07649647266922,90.97370230007368,,0.5,0.0002,0.01,0.002,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
C2-F-A-093,confirmatory_final,121,A_full_nonlinear,delay_increase,low,4.0,300.0,sustainable,after,area0,-1,known,101.16797807555845,122.4832069439645,,0.35,0.0001,0.01,0.001,60.0,LOCKED_CONFIRMATORY_INDEPENDENT_PER_FACTOR_PERMUTATIONS,False
