citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations,theme_black_box_ibr_multimode,theme_data_driven_frequency_control,theme_set_adaptive_tube_mpc,theme_active_dual_safe_identification,theme_multi_area_agc_ace_constrained
Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2020). Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources. 2020 IEEE Power &amp; Energy Society General Meeting (PESGM).,Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources,Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2020,2020 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9281861,https://doi.org/10.1109/pesgm41954.2020.9281861,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate,False,False,False,False,True
Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet (2020). Robust adaptive model predictive control: Performance and parameter estimation. International Journal of Robust and Nonlinear Control.,Robust adaptive model predictive control: Performance and parameter estimation,Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet,2020,International Journal of Robust and Nonlinear Control,10.1002/rnc.5175,https://doi.org/10.1002/rnc.5175,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias (2019). Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach. IFAC-PapersOnLine.,Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach,Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias,2019,IFAC-PapersOnLine,10.1016/j.ifacol.2019.12.159,https://doi.org/10.1016/j.ifacol.2019.12.159,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Abidemi Ajiborisha; Paul Trodden (2019). Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage. 2019 IEEE Conference on Control Technology and Applications (CCTA).,Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage,Abidemi Ajiborisha; Paul Trodden,2019,2019 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta.2019.8920505,https://doi.org/10.1109/ccta.2019.8920505,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
A. B. Kunya; M. Argin; S. Kucuksari (2019). Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action. 2019 IEEE Texas Power and Energy Conference (TPEC).,Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action,A. B. Kunya; M. Argin; S. Kucuksari,2019,2019 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2019.8662140,https://doi.org/10.1109/tpec.2019.8662140,proceedings-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Xiaonan Lu; Mark Cannon (2019). Robust Adaptive Tube Model Predictive Control. 2019 American Control Conference (ACC).,Robust Adaptive Tube Model Predictive Control,Xiaonan Lu; Mark Cannon,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814456,https://doi.org/10.23919/acc.2019.8814456,proceedings-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Matthias Lorenzen; Mark Cannon; Frank Allgöwer (2019). Robust MPC with recursive model update. Automatica.,Robust MPC with recursive model update,Matthias Lorenzen; Mark Cannon; Frank Allgöwer,2019,Automatica,10.1016/j.automatica.2019.02.023,https://doi.org/10.1016/j.automatica.2019.02.023,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
A. B. Kunya; M. Argin (2018). Model predictive load frequency control of multi-area interconnected power system. 2018 IEEE Texas Power and Energy Conference (TPEC).,Model predictive load frequency control of multi-area interconnected power system,A. B. Kunya; M. Argin,2018,2018 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2018.8312114,https://doi.org/10.1109/tpec.2018.8312114,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Yang Zheng; Jianzhong Zhou; Yanhe Xu; Yuncheng Zhang; Zhongdong Qian (2017). A distributed model predictive control based load frequency control scheme for multi-area interconnected power system using discrete-time Laguerre functions. ISA Transactions.,A distributed model predictive control based load frequency control scheme for multi-area interconnected power system using discrete-time Laguerre functions,Yang Zheng; Jianzhong Zhou; Yanhe Xu; Yuncheng Zhang; Zhongdong Qian,2017,ISA Transactions,10.1016/j.isatra.2017.03.009,https://doi.org/10.1016/j.isatra.2017.03.009,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng (2017). Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology. Energies.,Tie-Line Bias Control Applicability to Load Frequency Control for Multi-Area Interconnected Power Systems of Complex Topology,Chunyu Chen; Kaifeng Zhang; Kun Yuan; Xianliang Teng,2017,Energies,10.3390/en10010078,https://doi.org/10.3390/en10010078,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer (2014). Distributed model predictive load frequency control of multi-area interconnected power system. International Journal of Electrical Power &amp; Energy Systems.,Distributed model predictive load frequency control of multi-area interconnected power system,Miaomiao Ma; Hong Chen; Xiangjie Liu; Frank Allgöwer,2014,International Journal of Electrical Power &amp; Energy Systems,10.1016/j.ijepes.2014.04.050,https://doi.org/10.1016/j.ijepes.2014.04.050,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Anil Aswani; Humberto Gonzalez; S. Shankar Sastry; Claire Tomlin (2013). Provably safe and robust learning-based model predictive control. Automatica.,Provably safe and robust learning-based model predictive control,Anil Aswani; Humberto Gonzalez; S. Shankar Sastry; Claire Tomlin,2013,Automatica,10.1016/j.automatica.2013.02.003,https://doi.org/10.1016/j.automatica.2013.02.003,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
Veronica Adetola; Martin Guay (2010). Robust adaptive MPC for constrained uncertain nonlinear systems. International Journal of Adaptive Control and Signal Processing.,Robust adaptive MPC for constrained uncertain nonlinear systems,Veronica Adetola; Martin Guay,2010,International Journal of Adaptive Control and Signal Processing,10.1002/acs.1193,https://doi.org/10.1002/acs.1193,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",False,False,True,False,False
